Date,Year,Month,Company,Position,Position_Standardized,Salary_AMD,Experience_Years,Experience_Level,Salary_Category
2020-06-03T18:07:22Z,2020,6,TUMO,Head of Department,Other,2000000,10,Senior (5-10 years),Above 2M
2020-06-06T00:07:23Z,2020,6,Not Specified,Front-End Developer,Software Engineer/Developer,400000,1,Junior (0-2 years),200K-500K
2020-06-07T23:19:24Z,2020,6,Not Specified,Project Manager,Project Manager,250000,1,Junior (0-2 years),200K-500K
2020-06-10T16:36:31Z,2020,6,PicsArt,Senior Software Engineer,Software Engineer/Developer,1700000,4,Mid-Level (2-5 years),1M-2M
2020-06-10T22:43:52Z,2020,6,Intelinair,Senior Developer,Software Engineer/Developer,1200000,7,Senior (5-10 years),1M-2M
2020-06-15T14:55:16Z,2020,6,Freelance,Project Manager,Project Manager,1200000,5,Mid-Level (2-5 years),1M-2M
2020-06-18T15:36:46Z,2020,6,Telecommunication,Senior Business Development Executive,Project Manager,700000,7,Senior (5-10 years),500K-1M
2020-06-25T16:30:55Z,2020,6,Webb Fontaine Holding,Java Software Engineer Junior 2,Software Engineer/Developer,450000,1.5,Junior (0-2 years),200K-500K
2020-06-25T20:31:25Z,2020,6,Not Specified,Engineering Manager,Other,1300000,6,Senior (5-10 years),1M-2M
2020-06-26T23:38:13Z,2020,6,Upwork,TimeTracker  On/Off  Developer,Software Engineer/Developer,3500000,2,Junior (0-2 years),Above 2M
2020-06-30T01:27:10Z,2020,6,OMD,C++ software engineer,Software Engineer/Developer,1600000,8,Senior (5-10 years),1M-2M
2020-07-03T16:30:32Z,2020,7,CryptoX,Project Manager,Project Manager,350000,1.5,Junior (0-2 years),200K-500K
2020-07-13T11:27:49Z,2020,7,BetConstruct,Software engineer (ReactJS developer),Software Engineer/Developer,500000,3,Mid-Level (2-5 years),500K-1M
2020-07-13T14:15:41Z,2020,7,PicsArt,Senior Frontend Engineer,Frontend Developer,1400000,11,Expert (10+ years),1M-2M
2020-07-13T18:21:33Z,2020,7,Not Specified,Software Development Program Manager,Project Manager,1400000,5,Mid-Level (2-5 years),1M-2M
2020-07-15T23:30:33Z,2020,7,Ginosi,Senior PHP developer,Software Engineer/Developer,900000,8,Senior (5-10 years),500K-1M
2020-07-21T00:51:49Z,2020,7,Fifth llc,Product Manager,Product Manager/Owner,600000,4,Mid-Level (2-5 years),500K-1M
